"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"01/01/2001","62","PM2.5","","30-029-0039","AQS","20","11","13","62"
"01/02/2001","28","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","28","17","13","."
"01/03/2001","26","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","26","11","19","."
"01/04/2001","68","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","42","19","21","68"
"01/05/2001","33","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","33","29","7","."
"01/06/2001","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","22","30","17","."
"01/07/2001","75","PM2.5","","30-029-0039","AQS","23","20","55","75"
"01/08/2001","52","PM10","","30-029-0039","AQS","19","17","52","."
"01/09/2001","50","PM10","","30-029-0039","AQS","30","14","50","."
"01/10/2001","90","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","28","15","44","90"
"01/11/2001","26","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","26","24","11","."
"01/12/2001","26","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","19","26","8","."
"01/13/2001","63","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","22","22","17","63"
"01/14/2001","23","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","22","23","9","."
"01/15/2001","20","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","20","6","."
"01/16/2001","37","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","13","25","12","37"
"01/17/2001","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","27","27","18","."
"01/18/2001","28","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","28","20","16","."
"01/19/2001","73","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","25","14","20","73"
"01/20/2001","25","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","19","25","12","."
"01/21/2001","19","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","19","16","15","."
"01/22/2001","35","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","23","15","10","35"
"01/23/2001","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","20","27","5","."
"01/24/2001","25","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","19","25","6","."
"01/25/2001","52","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","35","18","16","52"
"01/26/2001","32","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","32","26","9","."
"01/27/2001","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","17","27","5","."
"01/28/2001","28","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","28","7","25"
"01/29/2001","26","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","26","11","."
"01/30/2001","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","30","13","."
"01/31/2001","40","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","18","19","12","40"
"02/01/2001","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","27","8","."
"02/02/2001","28","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","28","8","."
"02/03/2001","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","25","32","14","25"
"02/04/2001","28","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","28","25","13","."
"02/05/2001","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","31","7","."
"02/06/2001","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","33","17","8"
"02/07/2001","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","22","32","26","."
"02/08/2001","27","PM10","Kalispell Flathead Electric","30-029-0047","AQS","20","27","27","."
"02/09/2001","51","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","17","31","46","51"
"02/10/2001","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","25","30","9","."
"02/11/2001","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","22","30","11","."
"02/12/2001","68","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","22","34","20","68"
"02/13/2001","17","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","17",".","9","."
"02/14/2001","25","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","25",".","17","."
"02/15/2001","23","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","17",".","10","23"
"02/16/2001","18","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","18",".","7","."
"02/17/2001","20","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","20",".","7","."
"02/18/2001","67","PM2.5","","30-029-0039","AQS","18",".","23","67"
"02/19/2001","19","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","19",".","17","."
"02/20/2001","23","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","23",".","19","."
"02/21/2001","82","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","23",".","25","82"
"02/22/2001","25","CO","SHOPKO - KALISPELL_100 YARDS WEST OF INTERSECTION OF IDAHO & LASALLE","30-029-0048","AQS","25",".","13","."
"02/23/2001","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","19","31","7","."
"02/24/2001","33","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","17","27","10","33"
"02/25/2001","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","16","31","13","."
"02/26/2001","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","19","35","26","."
"02/27/2001","58","PM2.5","","30-029-0039","AQS","16","36","52","58"
"02/28/2001","44","PM10","","30-029-0039","AQS","18","40","44","."
"03/01/2001","44","PM10","","30-029-0039","AQS","19","34","44","."
"03/02/2001","69","PM2.5","","30-029-0039","AQS","22","40","56","69"
"03/03/2001","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","23","39","28","."
"03/04/2001","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","22","39","28","."
"03/05/2001","70","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","19","33","58","70"
"03/06/2001","46","PM10","Kalispell Flathead Electric","30-029-0047","AQS","25","38","46","."
"03/07/2001","51","PM10","","30-029-0039","AQS","19","34","51","."
"03/08/2001","59","PM2.5","","30-029-0039","AQS","18","36","55","59"
"03/09/2001","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","17","37","33","."
"03/10/2001","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","16","35","31","."
"03/11/2001","42","PM10","","30-029-0039","AQS","11","39","42","22"
"03/12/2001","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","6","40","39","."
"03/13/2001","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","6","39","19","."
"03/14/2001","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","34","9","26"
"03/15/2001","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","35","18","."
"03/16/2001","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","31","29","."
"03/17/2001","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","38","36","33"
"03/18/2001","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","36","32","."
"03/19/2001","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","44","17","."
"03/20/2001","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","44","35","35"
"03/21/2001","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","17","44","28","."
"03/22/2001","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","16","41","35","."
"03/23/2001","38","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","17","33","34","38"
"03/24/2001","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","17","31","24","."
"03/25/2001","22","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","22","14","."
"03/26/2001","43","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","43","14","23"
"03/27/2001","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","41","17","."
"03/28/2001","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","7","27","15","."
"03/29/2001","42","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","42","19","24"
"03/30/2001","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","36","19","."
"03/31/2001","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","33","9","."
"04/01/2001","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","7","32","10","20"
"04/02/2001","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","16","32","9","."
"04/03/2001","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","38","10","."
"04/04/2001","38","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","13","38","31","38"
"04/05/2001","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","17","41","31","."
"04/06/2001","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","32","17","."
"04/07/2001","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","35","14","16"
"04/08/2001","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","7","34","5","."
"04/09/2001","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","31","8","."
"04/10/2001","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","40","9","18"
"04/11/2001","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","41","13","."
"04/12/2001","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","37","13","."
"04/13/2001","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","39","15","15"
"04/14/2001","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","40","15","."
"04/15/2001","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","41","10","."
"04/16/2001","42","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","42","29","37"
"04/17/2001","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","6","41","38","."
"04/18/2001","42","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","42","24","."
"04/19/2001","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","40","18","18"
"04/20/2001","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","36","28","."
"04/21/2001","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","38","18","."
"04/22/2001","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","40","18","32"
"04/23/2001","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","31","21","."
"04/24/2001","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","36","27","."
"04/25/2001","36","PM10","TOP OF BUILDING, 223 MAIN ST, KALISPELL","30-029-1015","AQS","14","36","36","28"
"04/26/2001","34","PM10","Kalispell Flathead Electric","30-029-0047","AQS","13","34","34","."
"04/27/2001","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","5","38","28","."
"04/28/2001","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","3","41","7","12"
"04/29/2001","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","3","39","10","."
"04/30/2001","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","3","36","7","."
"05/01/2001","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","3","36","12","6"
"05/02/2001","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","5","32","14","."
"05/03/2001","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","5","37","17","."
"05/04/2001","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","5","39","26","22"
"05/05/2001","45","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","5","45","15","."
"05/06/2001","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","3","40","10","."
"05/07/2001","42","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","5","42","22","28"
"05/08/2001","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","6","44","39","."
"05/09/2001","50","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","5","50","36","."
"05/10/2001","45","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","5","45","37","38"
"05/11/2001","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","6","44","38","."
"05/12/2001","45","PM10","Kalispell Flathead Electric","30-029-0047","AQS","8","34","45","."
"05/13/2001","51","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","8","41","32","51"
"05/14/2001","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","7","32","18","."
"05/15/2001","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","3","34","8","."
"05/16/2001","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","36","8","10"
"05/17/2001","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","38","15","."
"05/18/2001","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","37","18","."
"05/19/2001","51","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","9","40","19","51"
"05/20/2001","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","7","34","6","."
"05/21/2001","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","35","19","."
"05/22/2001","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","34","29","22"
"05/23/2001","45","PM10","Kalispell Flathead Electric","30-029-0047","AQS","8","27","45","."
"05/24/2001","35","PM10","Kalispell Flathead Electric","30-029-0047","AQS","11","28","35","."
"05/25/2001","43","PM2.5","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","43","35","43"
"05/26/2001","43","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","43","26","."
"05/27/2001","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","39","28","."
"05/28/2001","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","5","40","13","23"
"05/29/2001","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","7","40","15","."
"05/30/2001","49","PM10","Kalispell Flathead Electric","30-029-0047","AQS","9","42","49","."
"05/31/2001","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","7","37","26","21"
"06/01/2001","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","33","31","."
"06/02/2001","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","34","14","."
"06/03/2001","23","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","6","23","6","10"
"06/04/2001","28","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","5","28","7","."
"06/05/2001","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","31","11","."
"06/06/2001","22","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","5","22","10","8"
"06/07/2001","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","38","14","."
"06/08/2001","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","32","15","."
"06/09/2001","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","31","13","16"
"06/10/2001","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","7","32","8","."
"06/11/2001","29","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","6","29","14","."
"06/12/2001","19","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","17","19","6","8"
"06/13/2001","22","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","7","22","10","."
"06/14/2001","24","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","6","24","9","."
"06/15/2001","23","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","23","13","14"
"06/16/2001","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","35","9","."
"06/17/2001","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","40","13","."
"06/18/2001","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","32","9","12"
"06/19/2001","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","27","11","."
"06/20/2001","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","35","19","."
"06/21/2001","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","33","20","22"
"06/22/2001","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","36","27","."
"06/23/2001","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","35","18","."
"06/24/2001","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","7","37","13","11"
"06/25/2001","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","6","27","11","."
"06/26/2001","21","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","21","19","."
"06/27/2001","20","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","15","17","17","20"
